shift_id,date,employee_id,employee_name,role,hours_worked,hourly_rate,labor_cost
7050,2022-01-13,E005,Carla DeLuca,Server,5.2,12.0,62.4
7051,2022-01-13,E012,Raj Patel,Line Cook,8.1,18.0,145.8
7052,2022-01-13,E003,Gianni Ferraro,Head Chef,9.4,28.0,263.2
7053,2022-01-13,E001,Sofia Russo,Owner/Manager,10.8,0.0,0.0
7054,2022-01-14,E004,Luca Mancini,Sous Chef,9.5,22.0,209.0
7055,2022-01-14,E002,Giulia Russo,Co-Owner/FOH,10.3,0.0,0.0
7056,2022-01-14,E005,Carla DeLuca,Server,7.2,12.0,86.4
7057,2022-01-14,E012,Raj Patel,Line Cook,9.9,18.0,178.2
7058,2022-01-14,E003,Gianni Ferraro,Head Chef,10.0,28.0,280.0
7059,2022-01-14,E001,Sofia Russo,Owner/Manager,11.4,0.0,0.0
7060,2022-01-15,E004,Luca Mancini,Sous Chef,9.2,22.0,202.4
7061,2022-01-15,E002,Giulia Russo,Co-Owner/FOH,10.7,0.0,0.0
7062,2022-01-15,E005,Carla DeLuca,Server,7.7,12.0,92.4
7063,2022-01-15,E012,Raj Patel,Line Cook,9.9,18.0,178.2
7064,2022-01-15,E003,Gianni Ferraro,Head Chef,9.3,28.0,260.4
7065,2022-01-15,E001,Sofia Russo,Owner/Manager,10.8,0.0,0.0
7066,2022-01-16,E004,Luca Mancini,Sous Chef,10.6,22.0,233.2
7067,2022-01-16,E002,Giulia Russo,Co-Owner/FOH,12.2,0.0,0.0
7068,2022-01-16,E005,Carla DeLuca,Server,7.1,12.0,85.2
7069,2022-01-16,E012,Raj Patel,Line Cook,9.8,18.0,176.4
7070,2022-01-16,E003,Gianni Ferraro,Head Chef,10.4,28.0,291.2
7071,2022-01-16,E001,Sofia Russo,Owner/Manager,11.7,0.0,0.0
7072,2022-01-18,E004,Luca Mancini,Sous Chef,8.1,22.0,178.2
7073,2022-01-18,E002,Giulia Russo,Co-Owner/FOH,12.1,0.0,0.0
7074,2022-01-18,E005,Carla DeLuca,Server,5.4,12.0,64.8
7075,2022-01-18,E012,Raj Patel,Line Cook,8.7,18.0,156.6
7076,2022-01-18,E003,Gianni Ferraro,Head Chef,9.1,28.0,254.8
7077,2022-01-18,E001,Sofia Russo,Owner/Manager,12.8,0.0,0.0
7078,2022-01-19,E004,Luca Mancini,Sous Chef,8.5,22.0,187.0
7079,2022-01-19,E002,Giulia Russo,Co-Owner/FOH,11.5,0.0,0.0
7080,2022-01-19,E005,Carla DeLuca,Server,6.3,12.0,75.6
7081,2022-01-19,E012,Raj Patel,Line Cook,9.7,18.0,174.6
7082,2022-01-19,E003,Gianni Ferraro,Head Chef,8.4,28.0,235.2
7083,2022-01-19,E001,Sofia Russo,Owner/Manager,10.6,0.0,0.0
7084,2022-01-20,E004,Luca Mancini,Sous Chef,8.9,22.0,195.8
7085,2022-01-20,E002,Giulia Russo,Co-Owner/FOH,11.9,0.0,0.0
7086,2022-01-20,E005,Carla DeLuca,Server,5.0,12.0,60.0
7087,2022-01-20,E012,Raj Patel,Line Cook,10.0,18.0,180.0
7088,2022-01-20,E003,Gianni Ferraro,Head Chef,9.1,28.0,254.8
7089,2022-01-20,E001,Sofia Russo,Owner/Manager,11.8,0.0,0.0
7090,2022-01-21,E004,Luca Mancini,Sous Chef,9.4,22.0,206.8
7091,2022-01-21,E002,Giulia Russo,Co-Owner/FOH,10.6,0.0,0.0
7092,2022-01-21,E005,Carla DeLuca,Server,8.0,12.0,96.0
7093,2022-01-21,E012,Raj Patel,Line Cook,10.9,18.0,196.2
7094,2022-01-21,E003,Gianni Ferraro,Head Chef,9.8,28.0,274.4
7095,2022-01-21,E001,Sofia Russo,Owner/Manager,10.8,0.0,0.0
7096,2022-01-22,E004,Luca Mancini,Sous Chef,10.6,22.0,233.2
7097,2022-01-22,E002,Giulia Russo,Co-Owner/FOH,10.1,0.0,0.0
7098,2022-01-22,E005,Carla DeLuca,Server,7.9,12.0,94.8
7099,2022-01-22,E012,Raj Patel,Line Cook,9.9,18.0,178.2
7100,2022-01-22,E003,Gianni Ferraro,Head Chef,10.1,28.0,282.8
7101,2022-01-22,E001,Sofia Russo,Owner/Manager,11.8,0.0,0.0
7102,2022-01-23,E004,Luca Mancini,Sous Chef,10.6,22.0,233.2
7103,2022-01-23,E002,Giulia Russo,Co-Owner/FOH,10.1,0.0,0.0
7104,2022-01-23,E005,Carla DeLuca,Server,7.3,12.0,87.6
7105,2022-01-23,E012,Raj Patel,Line Cook,9.2,18.0,165.6
7106,2022-01-23,E003,Gianni Ferraro,Head Chef,9.7,28.0,271.6
7107,2022-01-23,E001,Sofia Russo,Owner/Manager,11.6,0.0,0.0
7108,2022-01-25,E004,Luca Mancini,Sous Chef,8.2,22.0,180.4
7109,2022-01-25,E002,Giulia Russo,Co-Owner/FOH,12.5,0.0,0.0
7110,2022-01-25,E005,Carla DeLuca,Server,5.3,12.0,63.6
7111,2022-01-25,E012,Raj Patel,Line Cook,8.3,18.0,149.4
7112,2022-01-25,E003,Gianni Ferraro,Head Chef,8.2,28.0,229.6
7113,2022-01-25,E001,Sofia Russo,Owner/Manager,11.6,0.0,0.0
7114,2022-01-26,E004,Luca Mancini,Sous Chef,9.3,22.0,204.6
7115,2022-01-26,E002,Giulia Russo,Co-Owner/FOH,12.5,0.0,0.0
7116,2022-01-26,E005,Carla DeLuca,Server,5.5,12.0,66.0
7117,2022-01-26,E012,Raj Patel,Line Cook,9.7,18.0,174.6
7118,2022-01-26,E003,Gianni Ferraro,Head Chef,8.7,28.0,243.6
7119,2022-01-26,E001,Sofia Russo,Owner/Manager,12.6,0.0,0.0
7120,2022-01-27,E004,Luca Mancini,Sous Chef,8.8,22.0,193.6
7121,2022-01-27,E002,Giulia Russo,Co-Owner/FOH,12.2,0.0,0.0
7122,2022-01-27,E005,Carla DeLuca,Server,6.4,12.0,76.8
7123,2022-01-27,E012,Raj Patel,Line Cook,9.0,18.0,162.0
7124,2022-01-27,E003,Gianni Ferraro,Head Chef,8.2,28.0,229.6
7125,2022-01-27,E001,Sofia Russo,Owner/Manager,11.1,0.0,0.0
7126,2022-01-28,E004,Luca Mancini,Sous Chef,10.6,22.0,233.2
7127,2022-01-28,E002,Giulia Russo,Co-Owner/FOH,11.5,0.0,0.0
7128,2022-01-28,E005,Carla DeLuca,Server,8.4,12.0,100.8
7129,2022-01-28,E012,Raj Patel,Line Cook,9.4,18.0,169.2
7130,2022-01-28,E003,Gianni Ferraro,Head Chef,9.3,28.0,260.4
7131,2022-01-28,E001,Sofia Russo,Owner/Manager,12.5,0.0,0.0
7132,2022-01-29,E004,Luca Mancini,Sous Chef,10.1,22.0,222.2
7133,2022-01-29,E002,Giulia Russo,Co-Owner/FOH,12.0,0.0,0.0
7134,2022-01-29,E005,Carla DeLuca,Server,7.5,12.0,90.0
7135,2022-01-29,E012,Raj Patel,Line Cook,9.5,18.0,171.0
7136,2022-01-29,E003,Gianni Ferraro,Head Chef,10.4,28.0,291.2
7137,2022-01-29,E001,Sofia Russo,Owner/Manager,11.2,0.0,0.0
7138,2022-01-30,E004,Luca Mancini,Sous Chef,9.6,22.0,211.2
7139,2022-01-30,E002,Giulia Russo,Co-Owner/FOH,10.4,0.0,0.0
7140,2022-01-30,E005,Carla DeLuca,Server,9.0,12.0,108.0
7141,2022-01-30,E012,Raj Patel,Line Cook,9.2,18.0,165.6
7142,2022-01-30,E003,Gianni Ferraro,Head Chef,10.2,28.0,285.6
7143,2022-01-30,E001,Sofia Russo,Owner/Manager,11.9,0.0,0.0
7144,2022-02-01,E006,Tony Esposito,Server,5.5,12.0,66.0
7145,2022-02-01,E004,Luca Mancini,Sous Chef,8.3,22.0,182.6
7146,2022-02-01,E002,Giulia Russo,Co-Owner/FOH,12.0,0.0,0.0
7147,2022-02-01,E005,Carla DeLuca,Server,6.8,12.0,81.6
7148,2022-02-01,E012,Raj Patel,Line Cook,9.0,18.0,162.0
7149,2022-02-01,E003,Gianni Ferraro,Head Chef,9.4,28.0,263.2
7150,2022-02-01,E001,Sofia Russo,Owner/Manager,11.3,0.0,0.0
7151,2022-02-02,E006,Tony Esposito,Server,7.0,12.0,84.0
7152,2022-02-02,E004,Luca Mancini,Sous Chef,8.8,22.0,193.6
7153,2022-02-02,E002,Giulia Russo,Co-Owner/FOH,12.4,0.0,0.0
7154,2022-02-02,E005,Carla DeLuca,Server,5.3,12.0,63.6
7155,2022-02-02,E012,Raj Patel,Line Cook,9.0,18.0,162.0
7156,2022-02-02,E003,Gianni Ferraro,Head Chef,8.1,28.0,226.8
7157,2022-02-02,E001,Sofia Russo,Owner/Manager,12.4,0.0,0.0
7158,2022-02-03,E006,Tony Esposito,Server,5.1,12.0,61.2
7159,2022-02-03,E004,Luca Mancini,Sous Chef,9.1,22.0,200.2
7160,2022-02-03,E002,Giulia Russo,Co-Owner/FOH,12.5,0.0,0.0
7161,2022-02-03,E005,Carla DeLuca,Server,7.0,12.0,84.0
7162,2022-02-03,E012,Raj Patel,Line Cook,8.2,18.0,147.6
7163,2022-02-03,E003,Gianni Ferraro,Head Chef,8.6,28.0,240.8
7164,2022-02-03,E001,Sofia Russo,Owner/Manager,12.5,0.0,0.0
7165,2022-02-04,E006,Tony Esposito,Server,8.3,12.0,99.6
7166,2022-02-04,E004,Luca Mancini,Sous Chef,10.9,22.0,239.8
7167,2022-02-04,E002,Giulia Russo,Co-Owner/FOH,12.6,0.0,0.0
7168,2022-02-04,E005,Carla DeLuca,Server,7.9,12.0,94.8
7169,2022-02-04,E012,Raj Patel,Line Cook,10.5,18.0,189.0
7170,2022-02-04,E003,Gianni Ferraro,Head Chef,10.7,28.0,299.6
7171,2022-02-04,E001,Sofia Russo,Owner/Manager,10.4,0.0,0.0
7172,2022-02-05,E006,Tony Esposito,Server,8.2,12.0,98.4
7173,2022-02-05,E004,Luca Mancini,Sous Chef,10.0,22.0,220.0
7174,2022-02-05,E002,Giulia Russo,Co-Owner/FOH,12.3,0.0,0.0
7175,2022-02-05,E005,Carla DeLuca,Server,8.9,12.0,106.8
7176,2022-02-05,E012,Raj Patel,Line Cook,10.4,18.0,187.2
7177,2022-02-05,E003,Gianni Ferraro,Head Chef,10.2,28.0,285.6
7178,2022-02-05,E001,Sofia Russo,Owner/Manager,12.2,0.0,0.0
7179,2022-02-06,E006,Tony Esposito,Server,7.7,12.0,92.4
7180,2022-02-06,E004,Luca Mancini,Sous Chef,10.2,22.0,224.4
7181,2022-02-06,E002,Giulia Russo,Co-Owner/FOH,11.0,0.0,0.0
7182,2022-02-06,E005,Carla DeLuca,Server,8.8,12.0,105.6
7183,2022-02-06,E012,Raj Patel,Line Cook,9.6,18.0,172.8
7184,2022-02-06,E003,Gianni Ferraro,Head Chef,10.2,28.0,285.6
7185,2022-02-06,E001,Sofia Russo,Owner/Manager,10.8,0.0,0.0
7186,2022-02-08,E006,Tony Esposito,Server,6.3,12.0,75.6
7187,2022-02-08,E004,Luca Mancini,Sous Chef,9.7,22.0,213.4
7188,2022-02-08,E002,Giulia Russo,Co-Owner/FOH,10.7,0.0,0.0
7189,2022-02-08,E005,Carla DeLuca,Server,6.4,12.0,76.8
7190,2022-02-08,E012,Raj Patel,Line Cook,8.2,18.0,147.6
7191,2022-02-08,E003,Gianni Ferraro,Head Chef,8.7,28.0,243.6
7192,2022-02-08,E001,Sofia Russo,Owner/Manager,11.3,0.0,0.0
7193,2022-02-09,E006,Tony Esposito,Server,5.2,12.0,62.4
7194,2022-02-09,E004,Luca Mancini,Sous Chef,9.6,22.0,211.2
7195,2022-02-09,E002,Giulia Russo,Co-Owner/FOH,12.3,0.0,0.0
7196,2022-02-09,E005,Carla DeLuca,Server,6.7,12.0,80.4
7197,2022-02-09,E012,Raj Patel,Line Cook,9.9,18.0,178.2
7198,2022-02-09,E003,Gianni Ferraro,Head Chef,9.6,28.0,268.8
7199,2022-02-09,E001,Sofia Russo,Owner/Manager,11.6,0.0,0.0
7200,2022-02-10,E006,Tony Esposito,Server,6.3,12.0,75.6
7201,2022-02-10,E004,Luca Mancini,Sous Chef,8.0,22.0,176.0
7202,2022-02-10,E002,Giulia Russo,Co-Owner/FOH,11.8,0.0,0.0
7203,2022-02-10,E005,Carla DeLuca,Server,5.9,12.0,70.8
7204,2022-02-10,E012,Raj Patel,Line Cook,8.7,18.0,156.6
7205,2022-02-10,E003,Gianni Ferraro,Head Chef,8.5,28.0,238.0
7206,2022-02-10,E001,Sofia Russo,Owner/Manager,11.7,0.0,0.0
7207,2022-02-11,E006,Tony Esposito,Server,7.6,12.0,91.2
7208,2022-02-11,E004,Luca Mancini,Sous Chef,10.0,22.0,220.0
7209,2022-02-11,E002,Giulia Russo,Co-Owner/FOH,11.5,0.0,0.0
7210,2022-02-11,E005,Carla DeLuca,Server,7.7,12.0,92.4
7211,2022-02-11,E012,Raj Patel,Line Cook,9.7,18.0,174.6
7212,2022-02-11,E003,Gianni Ferraro,Head Chef,10.9,28.0,305.2
7213,2022-02-11,E001,Sofia Russo,Owner/Manager,11.5,0.0,0.0
7214,2022-02-12,E006,Tony Esposito,Server,8.9,12.0,106.8
7215,2022-02-12,E004,Luca Mancini,Sous Chef,9.6,22.0,211.2
7216,2022-02-12,E002,Giulia Russo,Co-Owner/FOH,12.9,0.0,0.0
7217,2022-02-12,E005,Carla DeLuca,Server,8.8,12.0,105.6
7218,2022-02-12,E012,Raj Patel,Line Cook,9.8,18.0,176.4
7219,2022-02-12,E003,Gianni Ferraro,Head Chef,9.2,28.0,257.6
7220,2022-02-12,E001,Sofia Russo,Owner/Manager,11.9,0.0,0.0
7221,2022-02-13,E006,Tony Esposito,Server,8.5,12.0,102.0
7222,2022-02-13,E004,Luca Mancini,Sous Chef,9.7,22.0,213.4
7223,2022-02-13,E002,Giulia Russo,Co-Owner/FOH,11.0,0.0,0.0
7224,2022-02-13,E005,Carla DeLuca,Server,6.2,12.0,74.4
7225,2022-02-13,E012,Raj Patel,Line Cook,9.0,18.0,162.0
7226,2022-02-13,E003,Gianni Ferraro,Head Chef,9.9,28.0,277.2
7227,2022-02-13,E001,Sofia Russo,Owner/Manager,10.4,0.0,0.0
7228,2022-02-15,E006,Tony Esposito,Server,6.5,12.0,78.0
7229,2022-02-15,E004,Luca Mancini,Sous Chef,8.9,22.0,195.8
7230,2022-02-15,E002,Giulia Russo,Co-Owner/FOH,10.7,0.0,0.0
7231,2022-02-15,E005,Carla DeLuca,Server,6.3,12.0,75.6
7232,2022-02-15,E012,Raj Patel,Line Cook,8.8,18.0,158.4
7233,2022-02-15,E003,Gianni Ferraro,Head Chef,10.0,28.0,280.0
7234,2022-02-15,E001,Sofia Russo,Owner/Manager,12.3,0.0,0.0
7235,2022-02-16,E006,Tony Esposito,Server,5.9,12.0,70.8
7236,2022-02-16,E004,Luca Mancini,Sous Chef,9.3,22.0,204.6
7237,2022-02-16,E002,Giulia Russo,Co-Owner/FOH,10.1,0.0,0.0
7238,2022-02-16,E005,Carla DeLuca,Server,5.8,12.0,69.6
7239,2022-02-16,E012,Raj Patel,Line Cook,9.7,18.0,174.6
7240,2022-02-16,E003,Gianni Ferraro,Head Chef,9.9,28.0,277.2
7241,2022-02-16,E001,Sofia Russo,Owner/Manager,10.9,0.0,0.0
7242,2022-02-17,E006,Tony Esposito,Server,6.1,12.0,73.2
7243,2022-02-17,E004,Luca Mancini,Sous Chef,9.4,22.0,206.8
7244,2022-02-17,E002,Giulia Russo,Co-Owner/FOH,12.6,0.0,0.0
7245,2022-02-17,E005,Carla DeLuca,Server,5.3,12.0,63.6
7246,2022-02-17,E012,Raj Patel,Line Cook,9.9,18.0,178.2
7247,2022-02-17,E003,Gianni Ferraro,Head Chef,8.6,28.0,240.8
7248,2022-02-17,E001,Sofia Russo,Owner/Manager,12.2,0.0,0.0
7249,2022-02-18,E006,Tony Esposito,Server,8.3,12.0,99.6
7250,2022-02-18,E004,Luca Mancini,Sous Chef,9.7,22.0,213.4
7251,2022-02-18,E002,Giulia Russo,Co-Owner/FOH,11.6,0.0,0.0
7252,2022-02-18,E005,Carla DeLuca,Server,8.6,12.0,103.2
7253,2022-02-18,E012,Raj Patel,Line Cook,10.5,18.0,189.0
7254,2022-02-18,E003,Gianni Ferraro,Head Chef,10.5,28.0,294.0
7255,2022-02-18,E001,Sofia Russo,Owner/Manager,12.7,0.0,0.0
7256,2022-02-19,E006,Tony Esposito,Server,6.8,12.0,81.6
7257,2022-02-19,E004,Luca Mancini,Sous Chef,10.7,22.0,235.4
7258,2022-02-19,E002,Giulia Russo,Co-Owner/FOH,11.8,0.0,0.0
7259,2022-02-19,E005,Carla DeLuca,Server,6.8,12.0,81.6
7260,2022-02-19,E012,Raj Patel,Line Cook,11.0,18.0,198.0
7261,2022-02-19,E003,Gianni Ferraro,Head Chef,10.8,28.0,302.4
7262,2022-02-19,E001,Sofia Russo,Owner/Manager,12.4,0.0,0.0
7263,2022-02-20,E006,Tony Esposito,Server,8.4,12.0,100.8
7264,2022-02-20,E004,Luca Mancini,Sous Chef,9.8,22.0,215.6
7265,2022-02-20,E002,Giulia Russo,Co-Owner/FOH,10.9,0.0,0.0
7266,2022-02-20,E005,Carla DeLuca,Server,8.4,12.0,100.8
7267,2022-02-20,E012,Raj Patel,Line Cook,10.2,18.0,183.6
7268,2022-02-20,E003,Gianni Ferraro,Head Chef,10.5,28.0,294.0
7269,2022-02-20,E001,Sofia Russo,Owner/Manager,10.2,0.0,0.0
7270,2022-02-22,E006,Tony Esposito,Server,5.9,12.0,70.8
7271,2022-02-22,E004,Luca Mancini,Sous Chef,8.9,22.0,195.8
7272,2022-02-22,E002,Giulia Russo,Co-Owner/FOH,10.9,0.0,0.0
7273,2022-02-22,E005,Carla DeLuca,Server,6.3,12.0,75.6
7274,2022-02-22,E012,Raj Patel,Line Cook,9.2,18.0,165.6
7275,2022-02-22,E003,Gianni Ferraro,Head Chef,8.1,28.0,226.8
7276,2022-02-22,E001,Sofia Russo,Owner/Manager,10.7,0.0,0.0
7277,2022-02-23,E006,Tony Esposito,Server,6.9,12.0,82.8
7278,2022-02-23,E004,Luca Mancini,Sous Chef,9.2,22.0,202.4
7279,2022-02-23,E002,Giulia Russo,Co-Owner/FOH,10.2,0.0,0.0
7280,2022-02-23,E005,Carla DeLuca,Server,5.5,12.0,66.0
7281,2022-02-23,E012,Raj Patel,Line Cook,10.0,18.0,180.0
7282,2022-02-23,E003,Gianni Ferraro,Head Chef,8.4,28.0,235.2
7283,2022-02-23,E001,Sofia Russo,Owner/Manager,12.2,0.0,0.0
7284,2022-02-24,E006,Tony Esposito,Server,6.2,12.0,74.4
7285,2022-02-24,E004,Luca Mancini,Sous Chef,9.2,22.0,202.4
7286,2022-02-24,E002,Giulia Russo,Co-Owner/FOH,11.6,0.0,0.0
7287,2022-02-24,E005,Carla DeLuca,Server,5.5,12.0,66.0
7288,2022-02-24,E012,Raj Patel,Line Cook,9.4,18.0,169.2
7289,2022-02-24,E003,Gianni Ferraro,Head Chef,9.5,28.0,266.0
7290,2022-02-24,E001,Sofia Russo,Owner/Manager,11.0,0.0,0.0
7291,2022-02-25,E006,Tony Esposito,Server,7.8,12.0,93.6
7292,2022-02-25,E004,Luca Mancini,Sous Chef,9.5,22.0,209.0
7293,2022-02-25,E002,Giulia Russo,Co-Owner/FOH,11.0,0.0,0.0
7294,2022-02-25,E005,Carla DeLuca,Server,8.6,12.0,103.2
7295,2022-02-25,E012,Raj Patel,Line Cook,10.6,18.0,190.8
7296,2022-02-25,E003,Gianni Ferraro,Head Chef,10.9,28.0,305.2
7297,2022-02-25,E001,Sofia Russo,Owner/Manager,11.7,0.0,0.0
7298,2022-02-26,E006,Tony Esposito,Server,8.9,12.0,106.8
7299,2022-02-26,E004,Luca Mancini,Sous Chef,9.8,22.0,215.6
7300,2022-02-26,E002,Giulia Russo,Co-Owner/FOH,10.0,0.0,0.0
7301,2022-02-26,E005,Carla DeLuca,Server,8.4,12.0,100.8
7302,2022-02-26,E012,Raj Patel,Line Cook,9.7,18.0,174.6
7303,2022-02-26,E003,Gianni Ferraro,Head Chef,10.6,28.0,296.8
7304,2022-02-26,E001,Sofia Russo,Owner/Manager,11.9,0.0,0.0
7305,2022-02-27,E006,Tony Esposito,Server,7.1,12.0,85.2
7306,2022-02-27,E004,Luca Mancini,Sous Chef,9.7,22.0,213.4
7307,2022-02-27,E002,Giulia Russo,Co-Owner/FOH,10.6,0.0,0.0
7308,2022-02-27,E005,Carla DeLuca,Server,8.0,12.0,96.0
7309,2022-02-27,E012,Raj Patel,Line Cook,9.8,18.0,176.4
7310,2022-02-27,E003,Gianni Ferraro,Head Chef,10.9,28.0,305.2
7311,2022-02-27,E001,Sofia Russo,Owner/Manager,12.1,0.0,0.0
7312,2022-03-01,E006,Tony Esposito,Server,5.7,12.0,68.4
7313,2022-03-01,E004,Luca Mancini,Sous Chef,8.7,22.0,191.4
7314,2022-03-01,E002,Giulia Russo,Co-Owner/FOH,12.5,0.0,0.0
7315,2022-03-01,E005,Carla DeLuca,Server,5.4,12.0,64.8
7316,2022-03-01,E012,Raj Patel,Line Cook,8.9,18.0,160.2
7317,2022-03-01,E003,Gianni Ferraro,Head Chef,8.8,28.0,246.4
7318,2022-03-01,E001,Sofia Russo,Owner/Manager,11.6,0.0,0.0
7319,2022-03-02,E006,Tony Esposito,Server,5.4,12.0,64.8
7320,2022-03-02,E004,Luca Mancini,Sous Chef,9.5,22.0,209.0
7321,2022-03-02,E002,Giulia Russo,Co-Owner/FOH,11.9,0.0,0.0
7322,2022-03-02,E005,Carla DeLuca,Server,5.6,12.0,67.2
7323,2022-03-02,E012,Raj Patel,Line Cook,8.3,18.0,149.4
7324,2022-03-02,E003,Gianni Ferraro,Head Chef,10.0,28.0,280.0
7325,2022-03-02,E001,Sofia Russo,Owner/Manager,10.5,0.0,0.0
7326,2022-03-03,E006,Tony Esposito,Server,5.5,12.0,66.0
7327,2022-03-03,E004,Luca Mancini,Sous Chef,9.3,22.0,204.6
7328,2022-03-03,E002,Giulia Russo,Co-Owner/FOH,10.3,0.0,0.0
7329,2022-03-03,E005,Carla DeLuca,Server,5.8,12.0,69.6
7330,2022-03-03,E012,Raj Patel,Line Cook,8.4,18.0,151.2
7331,2022-03-03,E003,Gianni Ferraro,Head Chef,9.4,28.0,263.2
7332,2022-03-03,E001,Sofia Russo,Owner/Manager,11.3,0.0,0.0
7333,2022-03-04,E006,Tony Esposito,Server,6.5,12.0,78.0
7334,2022-03-04,E004,Luca Mancini,Sous Chef,9.4,22.0,206.8
7335,2022-03-04,E002,Giulia Russo,Co-Owner/FOH,12.4,0.0,0.0
7336,2022-03-04,E005,Carla DeLuca,Server,9.0,12.0,108.0
7337,2022-03-04,E012,Raj Patel,Line Cook,10.0,18.0,180.0
7338,2022-03-04,E003,Gianni Ferraro,Head Chef,9.9,28.0,277.2
7339,2022-03-04,E001,Sofia Russo,Owner/Manager,11.5,0.0,0.0
7340,2022-03-05,E006,Tony Esposito,Server,6.5,12.0,78.0
7341,2022-03-05,E004,Luca Mancini,Sous Chef,9.2,22.0,202.4
7342,2022-03-05,E002,Giulia Russo,Co-Owner/FOH,10.3,0.0,0.0
7343,2022-03-05,E005,Carla DeLuca,Server,7.1,12.0,85.2
7344,2022-03-05,E012,Raj Patel,Line Cook,9.3,18.0,167.4
7345,2022-03-05,E003,Gianni Ferraro,Head Chef,10.9,28.0,305.2
7346,2022-03-05,E001,Sofia Russo,Owner/Manager,12.4,0.0,0.0
7347,2022-03-06,E006,Tony Esposito,Server,8.0,12.0,96.0
7348,2022-03-06,E004,Luca Mancini,Sous Chef,10.8,22.0,237.6
